place,placeLabel,gnd,iccd,image
http://www.wikidata.org/entity/Q2223178,chiesa di Santa Maria in Monterone,1025898680,,http://commons.wikimedia.org/wiki/Special:FilePath/S%20Eustachio%20-%20S%20Maria%20in%20Monterone.jpg
http://www.wikidata.org/entity/Q2039903,chiesa di Santa Maria in Portico in Campitelli,4230577-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Campitelli%20-%20santa%20maria%20in%20Portico%201918st.JPG
http://www.wikidata.org/entity/Q3585438,chiesa di Santa Maria in Publicolis,4795428-0,,http://commons.wikimedia.org/wiki/Special:FilePath/Eglise%20Santa%20Maria%20in%20Publicolis.JPG
http://www.wikidata.org/entity/Q2095295,chiesa di Santa Maria in Transpontina,4582806-4,,http://commons.wikimedia.org/wiki/Special:FilePath/Traspontina.jpg
http://www.wikidata.org/entity/Q1785234,chiesa di Santa Maria in Via,7718572-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20in%20Via%20-%20facciata%20-%20Panairjdde.jpg
http://www.wikidata.org/entity/Q1750627,chiesa di Santa Prisca,4461194-8,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Prisca%20%28Rome%29%20-%20Esterno.jpg
http://www.wikidata.org/entity/Q2030809,chiesa di Santa Susanna alle Terme di Diocleziano,4595875-0,,http://commons.wikimedia.org/wiki/Special:FilePath/Church%20of%20Santa%20Susanna%2C%20Rome%20LCCN2014714495.jpg
http://www.wikidata.org/entity/Q2030809,chiesa di Santa Susanna alle Terme di Diocleziano,4595875-0,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Susanna%20%28Rome%29%20-%20Front.jpg
http://www.wikidata.org/entity/Q1428488,chiesa di Santo Spirito in Sassia,4505920-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Chiesa%20di%20S.Spirito%20in%20Sassia%20-%20panoramio.jpg
http://www.wikidata.org/entity/Q1166213,chiesa di Santo Stefano degli Abissini,7678369-8,,http://commons.wikimedia.org/wiki/Special:FilePath/Giardini%20vaticani%2C%20chiesa%20di%20santo%20stefano%20degli%20abissini%2C%2001.jpg
http://www.wikidata.org/entity/Q2223693,chiesa di Santo Stefano del Cacco,7566670-4,,http://commons.wikimedia.org/wiki/Special:FilePath/Santo%20Stefano%20del%20Cacco%20facciata.jpg
http://www.wikidata.org/entity/Q1523718,oratorio di San Francesco Saverio,7687253-1,15694,http://commons.wikimedia.org/wiki/Special:FilePath/Pigna%20-%20Oratorio%20di%20S.%20Francesco%20Saverio.JPG
http://www.wikidata.org/entity/Q12960184,tempietto di San Pietro in Montorio,4224632-5,,http://commons.wikimedia.org/wiki/Special:FilePath/Tempietto%2C%20Haupteingang.jpg
